project,sha,message,author,total_changes,additions,deletions,files_count,hour
maryamloukili78/produit-management,cfedf6cef6dcc0637330b69970f3d275b1f3f05d,Merge branch 'feature/suppression-produit' into 'main',RihabAddou,622,469,111,1,16
maryamloukili78/produit-management,e0d30da9e9d39a1c1d8f366f48cff5c9e7264e65,Feature: suppression produit avec test unitaire,RihabAddou,787,396,296,6,17
maryamloukili78/produit-management,0abbcfe10ead9bba58f85130a5eaaab25b78f6d5,Feature: suppression produit avec test unitaire,RihabAddou,44,25,6,14,17
maryamloukili78/produit-management,6e5c61ad0483c56738d1dd17938a7d63350725e2,Merge branch 'feature/ajout-produit' into 'main',RihabAddou,208,131,78,2,15
maryamloukili78/produit-management,69f5ce783c1d4fcea7e870d48725a040d8575b26,Sauvegarde avant revert,RihabAddou,670,462,173,7,16
maryamloukili78/produit-management,1c7e3dbde3bfa5d4ec128bab21a33b3625ed1349,Merge branch 'main' of https://gitlab.com/maryamloukili78/produit-management,RihabAddou,440,191,161,11,15
maryamloukili78/produit-management,1d972954bc8d8e99f69171fa2af7b7217c52e4f5,Modification X : ajout validation prix et quantité,RihabAddou,301,195,92,13,14
maryamloukili78/produit-management,3568c4211f7770df6499e39df654aa159682dffa,Modification X : ajout validation prix et quantité,RihabAddou,1350,992,489,3,14
maryamloukili78/produit-management,8c85658eb789644ee0e00e92b0c323f6dc628cea,Modification X : ajout validation prix et quantité,RihabAddou,789,540,291,15,13
maryamloukili78/produit-management,9c8b51c071f543a65c93a82dc6f44d86b241865e,Feature: ajout produit avec test unitaire,RihabAddou,515,277,106,8,13
maryamloukili78/produit-management,69c150abc86c57a697461f233e460b1736d2ea51,Feature: ajout produit avec test unitaire,RihabAddou,1260,901,473,10,13
maryamloukili78/produit-management,840318208b721b117da0ffa3b8cc9a9513de4fdb,feat: ajout du projet Maven initial et CI/CD,RihabAddou,41,22,5,15,12
maryamloukili78/produit-management,41c30e623cb8c3daf1a734fc58d5056d43aaa151,Initial commit,Maryam Loukili,1010,804,319,3,9
RihabAddou/produit-management,e488580150ec74894d9ac044a4191f1cb861ca89,Merge branch 'feature/supprimer-produit' into 'main',RihabAddou,194,91,68,14,23
RihabAddou/produit-management,91fa3a4271e5ff7e40d017599fa8643e54d23afe,Initial commit,RihabAddou,1147,617,435,4,0
RihabAddou/produit-management,bf585476ead64f08c336f57f4dd053b704037da9,Merge branch 'feature/lecture' into 'main',Maryam Loukili,39,27,6,11,22
RihabAddou/produit-management,94f4b1f60303f116e7204a591e2ca998f3e8d30c,Ajout d'un test pour lecture,maryam louki,312,175,46,7,23
RihabAddou/produit-management,2036ff4e52201bf5b1c5c85a91d7d6c9aed30fd5,Merge branch 'feature/modifier-produit' into 'main',Maryam Loukili,1309,638,168,1,22
RihabAddou/produit-management,3b3206b7b826a76343f574e0a567aa8b694f04fb,Résolution des conflits et compilation réussie,maryam louki,1038,539,228,5,23
RihabAddou/produit-management,2db123f1528b10c410f58afd3894c1d50f9b132b,Résolution des conflits avec main,maryam louki,623,375,194,14,22
RihabAddou/produit-management,b69b90ccdbc02752b252f61b5fc6783a29cfd6a0,Résolution des conflits avec main,maryam louki,261,156,50,12,22
RihabAddou/produit-management,62fdf4255cb47f2b17ed049fd8ba627a1980c223,Sauvegarde avant merge avec main,maryam louki,184,98,40,15,22
RihabAddou/produit-management,b806a8bd4af04d8830d63f99897be4165712b346,Merge branch 'feature/ajout-produit' into 'main',RihabAddou,560,432,203,15,21
RihabAddou/produit-management,0cf8b3912332bbaa9da136069e5d8fc9edfd048c,Initial commit,RihabAddou,94,72,35,6,22
RihabAddou/produit-management,e3c81d06f330bf3b8d7321209c91936063c69178,Implémentation des fonctionnalités modifier et lecture avec tests unitaires,maryam louki,1437,657,314,8,22
RihabAddou/produit-management,2c02a0351e08e83a14047bdaa652ca603a712262,Initial commit,RihabAddou,1386,874,500,13,21
RihabAddou/produit-management,78fc58add9ccaa4ff52be0bbb5b13ba8efa2e3a8,Ajouter produit + test,RihabAddou,481,239,190,10,21
RihabAddou/produit-management,850996d556f5aecdc33309843d4d5e5cf55092bc,Add CI pipeline configuration,maryam louki,1315,1004,350,1,21
RihabAddou/produit-management,d60142bba558e3d50fa9f8f6b80d4713cca90ecf,Initial commit,RihabAddou,1070,457,113,11,21
RihabAddou/produit-management,8ba6f776db22622de513852bf78a62cff708e1c3,Initial commit,maryam louki,603,338,191,7,21
RihabAddou/tp3-symfony,b8146d022956b0c3fddfecea80b7a2295e632edc,README,RihabAddou,397,305,109,11,18
RihabAddou/tp3-symfony,6aa570c58b93b7600711bf1dcb8ee6e968848eb7,TP3 Symfony - formulaire produit et cart,RihabAddou,1072,686,244,3,17
RihabAddou/tp3-symfony,6096f4d017a4abcd5db552734832fb7dff77617c,Initial commit,RihabAddou,1161,905,379,1,17
RihabAddou/tp3-symfony,72bfcfac57164cc6ce2b69c69f3bc81bd06f17f2,Initial commit,RihabAddou,475,274,178,14,17
RihabAddou/tp3-symfony,d5fc6862378d065bbee8a6d634af45585f0db2b7,Initial commit,RihabAddou,617,381,104,3,17
RihabAddou/tp3-symfony,1fdede31cb6f275dbf7de7f059ce65af5881a363,Initial commit,RihabAddou,329,237,54,13,17
RihabAddou/Todo,a7f8c2c7b3a7d9243bbd32810e28f7db0461f25b,Initial commit - Todo project,RihabAddou,1038,639,140,15,16
